jpgs\e1.jpg|1|18|14417807||11|Guy|Gilbert|R|0|Production Technician - WC60|2006-01-28|1981-11-12|adventure-works\guy1|guy1@adventure-works.com|320-555-0195|M|Guy Gilbert|320-555-0195|0|M|1|12.4500|21|30|1|0|Production|2006-01-28||Current
jpgs\e2.jpg|2|7|253022876||11|Kevin|Brown|F|0|Marketing Assistant|2006-08-26|1986-12-01|adventure-works\kevin0|kevin0@adventure-works.com|150-555-0189|S|Kevin Brown|150-555-0189|0|M|2|13.4615|42|41|1|0|Marketing|2006-08-26||Current
jpgs\e3.jpg|3|14|509647174||11|Roberto|Tamburello||0|Engineering Manager|2007-06-11|1974-06-12|adventure-works\roberto0|roberto0@adventure-works.com|212-555-0187|M|Roberto Tamburello|212-555-0187|1|M|2|43.2692|2|21|1|0|Engineering|2007-06-11||Current
jpgs\e4.jpg|4|3|112457891||11|Rob|Walters||0|Senior Tool Designer|2007-07-05|1974-07-23|adventure-works\rob0|rob0@adventure-works.com|612-555-0100|S|Rob Walters|612-555-0100|0|M|2|29.8462|48|80|1|0|Tool Design|2007-07-05|2009-12-28|
jpgs\e5.jpg|5|3|112457891||11|Rob|Walters||0|Senior Tool Designer|2007-07-05|1974-07-23|adventure-works\rob0|rob0@adventure-works.com|612-555-0100|S|Rob Walters|612-555-0100|0|M|2|29.8462|48|80|1|0|Tool Design|2009-12-28||Current
jpgs\e6.jpg|6|267|480168528||11|Thierry|D'Hers|B|0|Tool Designer|2007-07-11|1959-02-26|adventure-works\thierry0|thierry0@adventure-works.com|168-555-0183|M|Thierry D'Hers|168-555-0183|0|M|2|25.0000|9|24|1|0|Tool Design|2007-07-11||Current
jpgs\e7.jpg|7|112|24756624||11|David|Bradley|M|0|Marketing Manager|2007-07-20|1974-10-17|adventure-works\david0|david0@adventure-works.com|913-555-0172|S|David Bradley|913-555-0172|1|M|2|37.5000|40|40|1|0|Marketing|2007-07-20|2009-02-11|
jpgs\e8.jpg|8|112|24756624||11|David|Bradley|M|0|Marketing Manager|2007-07-20|1974-10-17|adventure-works\david0|david0@adventure-works.com|913-555-0172|S|David Bradley|913-555-0172|1|M|2|37.5000|40|40|1|0|Marketing|2009-02-12||Current
jpgs\e9.jpg|9|23|309738752||11|JoLynn|Dobney|M|0|Production Supervisor - WC60|2007-07-26|1955-08-16|adventure-works\jolynn0|jolynn0@adventure-works.com|903-555-0145|S|JoLynn Dobney|903-555-0145|0|F|2|25.0000|82|61|1|0|Production|2007-07-26||Current
jpgs\e10.jpg|10|189|690627818||11|Ruth|Ellerbrock|Ann|0|Production Technician - WC10|2007-08-06|1956-01-03|adventure-works\ruth0|ruth0@adventure-works.com|145-555-0130|M|Ruth Ellerbrock|145-555-0130|0|F|1|13.4500|83|61|1|0|Production|2007-08-06||Current
jpgs\e11.jpg|11|3|695256908||11|Gail|Erickson|A|0|Design Engineer|2007-08-06|1952-04-27|adventure-works\gail0|gail0@adventure-works.com|849-555-0139|M|Gail Erickson|849-555-0139|1|F|2|32.6923|5|22|1|0|Engineering|2007-08-06||Current
